Set Number,Name,Year,Theme ID,Parts,Status,Image URL,Set URL
70825-1,Queen Watevra's Build Whatever Box!,2019,670,455,SETS_SEALED,https://cdn.rebrickable.com/media/sets/70825-1/14292.jpg,https://rebrickable.com/sets/70825-1/queen-watevras-build-whatever-box/
70841-1,Benny's Space Squad,2019,670,68,SETS_SEALED,https://cdn.rebrickable.com/media/sets/70841-1/10796.jpg,https://rebrickable.com/sets/70841-1/bennys-space-squad/
7106-1,Droid Escape,2001,158,45,SETS_USED,https://cdn.rebrickable.com/media/sets/7106-1/119927.jpg,https://rebrickable.com/sets/7106-1/droid-escape/
7110-1,Landspeeder,1999,158,49,SETS_USED,https://cdn.rebrickable.com/media/sets/7110-1/17566.jpg,https://rebrickable.com/sets/7110-1/landspeeder/
7111-1,Droid Fighter,1999,158,62,SETS_USED,https://cdn.rebrickable.com/media/sets/7111-1/93713.jpg,https://rebrickable.com/sets/7111-1/droid-fighter/
7121-1,Naboo Swamp,1999,158,82,SETS_USED,https://cdn.rebrickable.com/media/sets/7121-1/1233.jpg,https://rebrickable.com/sets/7121-1/naboo-swamp/
7131-1,Anakin's Podracer,1999,158,136,SETS_USED,https://cdn.rebrickable.com/media/sets/7131-1/56039.jpg,https://rebrickable.com/sets/7131-1/anakins-podracer/
71426-1,Piranha Plant,2023,690,540,SETS_USED,https://cdn.rebrickable.com/media/sets/71426-1/128161.jpg,https://rebrickable.com/sets/71426-1/piranha-plant/
71487-1,Z-Blob's Robot and Vehicle Adventures,2025,749,121,SETS_USED,https://cdn.rebrickable.com/media/sets/71487-1/149928.jpg,https://rebrickable.com/sets/71487-1/z-blobs-robot-and-vehicle-adventures/
71487-1,Z-Blob's Robot and Vehicle Adventures,2025,749,121,SETS_SEALED,https://cdn.rebrickable.com/media/sets/71487-1/149928.jpg,https://rebrickable.com/sets/71487-1/z-blobs-robot-and-vehicle-adventures/
