Set Number,Name,Year,Theme ID,Parts,Status,Image URL,Set URL
30568-1,Skater,2021,52,40,SETS_USED,https://cdn.rebrickable.com/media/sets/30568-1/79317.jpg,https://rebrickable.com/sets/30568-1/skater/
30570-1,Wildlife Rescue Hovercraft,2021,52,35,SETS_USED,https://cdn.rebrickable.com/media/sets/30570-1/89119.jpg,https://rebrickable.com/sets/30570-1/wildlife-rescue-hovercraft/
30582-1,Birthday Bear,2022,206,80,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30582-1/96420.jpg,https://rebrickable.com/sets/30582-1/birthday-bear/
30584-1,Winter Christmas Train,2022,228,73,SETS_USED,https://cdn.rebrickable.com/media/sets/30584-1/129492.jpg,https://rebrickable.com/sets/30584-1/winter-christmas-train/
30620-1,Star-Stuck Emmet,2019,670,41,SETS_USED,https://cdn.rebrickable.com/media/sets/30620-1/6905.jpg,https://rebrickable.com/sets/30620-1/star-stuck-emmet/
30640-1,Racing Car,2023,63,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30640-1/119540.jpg,https://rebrickable.com/sets/30640-1/racing-car/
30645-1,Snowman,2023,22,78,SETS_USED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30645-1,Snowman,2023,22,78,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30645-1,Snowman,2023,22,78,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30651-1,Quidditch Practice,2023,246,55,SETS_USED,https://cdn.rebrickable.com/media/sets/30651-1/131999.jpg,https://rebrickable.com/sets/30651-1/quidditch-practice/
30651-1,Quidditch Practice,2023,246,55,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30651-1/131999.jpg,https://rebrickable.com/sets/30651-1/quidditch-practice/
30652-1,Doctor Strange's Interdimensional Portal,2023,696,44,SETS_USED,https://cdn.rebrickable.com/media/sets/30652-1/141324.jpg,https://rebrickable.com/sets/30652-1/doctor-stranges-interdimensional-portal/
30652-1,Doctor Strange's Interdimensional Portal,2023,696,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30652-1/141324.jpg,https://rebrickable.com/sets/30652-1/doctor-stranges-interdimensional-portal/
30653-1,Batman 1992,2023,697,40,SETS_USED,https://cdn.rebrickable.com/media/sets/30653-1/124364.jpg,https://rebrickable.com/sets/30653-1/batman-1992/
30654-1,X-Wing Starfighter,2023,158,87,SETS_USED,https://cdn.rebrickable.com/media/sets/30654-1/131996.jpg,https://rebrickable.com/sets/30654-1/x-wing-starfighter/
30654-1,X-Wing Starfighter,2023,158,87,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30654-1/131996.jpg,https://rebrickable.com/sets/30654-1/x-wing-starfighter/
30657-1,McLaren Solus GT,2023,601,95,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30657-1/117964.jpg,https://rebrickable.com/sets/30657-1/mclaren-solus-gt/
30663-1,Space Hoverbike,2024,52,46,SETS_USED,https://cdn.rebrickable.com/media/sets/30663-1/146312.jpg,https://rebrickable.com/sets/30663-1/space-hoverbike/
30663-1,Space Hoverbike,2024,52,46,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30663-1/146312.jpg,https://rebrickable.com/sets/30663-1/space-hoverbike/
30665-1,Baby Gorilla Encounter,2024,614,34,SETS_USED,https://cdn.rebrickable.com/media/sets/30665-1/141317.jpg,https://rebrickable.com/sets/30665-1/baby-gorilla-encounter/
30670-1,Santa's Sleigh Ride,2024,22,73,SETS_USED,https://cdn.rebrickable.com/media/sets/30670-1/141318.jpg,https://rebrickable.com/sets/30670-1/santas-sleigh-ride/
30670-1,Santa's Sleigh Ride,2024,22,73,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30670-1/141318.jpg,https://rebrickable.com/sets/30670-1/santas-sleigh-ride/
30670-1,Santa's Sleigh Ride,2024,22,73,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30670-1/141318.jpg,https://rebrickable.com/sets/30670-1/santas-sleigh-ride/
30670-1,Santa's Sleigh Ride,2024,22,73,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30670-1/141318.jpg,https://rebrickable.com/sets/30670-1/santas-sleigh-ride/
30677-1,Draco in the Forbidden Forest,2024,246,33,SETS_USED,https://cdn.rebrickable.com/media/sets/30677-1/141320.jpg,https://rebrickable.com/sets/30677-1/draco-in-the-forbidden-forest/
30677-1,Draco in the Forbidden Forest,2024,246,33,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30677-1/141320.jpg,https://rebrickable.com/sets/30677-1/draco-in-the-forbidden-forest/
30680-1,AAT,2024,158,75,SETS_USED,https://cdn.rebrickable.com/media/sets/30680-1/134781.jpg,https://rebrickable.com/sets/30680-1/aat/
30680-1,AAT,2024,158,75,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30680-1/134781.jpg,https://rebrickable.com/sets/30680-1/aat/
30682-1,NASA Mars Rover Perseverance,2024,1,83,SETS_USED,https://cdn.rebrickable.com/media/sets/30682-1/146311.jpg,https://rebrickable.com/sets/30682-1/nasa-mars-rover-perseverance/
30682-1,NASA Mars Rover Perseverance,2024,1,83,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30682-1/146311.jpg,https://rebrickable.com/sets/30682-1/nasa-mars-rover-perseverance/
30683-1,McLaren Formula 1 Car,2024,601,58,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30683-1/141322.jpg,https://rebrickable.com/sets/30683-1/mclaren-formula-1-car/
30683-1,McLaren Formula 1 Car,2024,601,58,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30683-1/141322.jpg,https://rebrickable.com/sets/30683-1/mclaren-formula-1-car/
30685-1,TIE Interceptor,2024,158,48,SETS_USED,https://cdn.rebrickable.com/media/sets/30685-1/146330.jpg,https://rebrickable.com/sets/30685-1/tie-interceptor/
30685-1,TIE Interceptor,2024,158,48,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30685-1/146330.jpg,https://rebrickable.com/sets/30685-1/tie-interceptor/
30685-1,TIE Interceptor,2024,158,48,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30685-1/146330.jpg,https://rebrickable.com/sets/30685-1/tie-interceptor/
30688-1,Tropical Toucan,2025,672,59,SETS_USED,https://cdn.rebrickable.com/media/sets/30688-1/146767.jpg,https://rebrickable.com/sets/30688-1/tropical-toucan/
30701-1,Field Flowers,2025,769,77,SETS_USED,https://cdn.rebrickable.com/media/sets/30701-1/146750.jpg,https://rebrickable.com/sets/30701-1/field-flowers/
30701-1,Field Flowers,2025,769,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30701-1/146750.jpg,https://rebrickable.com/sets/30701-1/field-flowers/
30701-1,Field Flowers,2025,769,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30701-1/146750.jpg,https://rebrickable.com/sets/30701-1/field-flowers/
30701-1,Field Flowers,2025,769,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30701-1/146750.jpg,https://rebrickable.com/sets/30701-1/field-flowers/
30701-1,Field Flowers,2025,769,77,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30701-1/146750.jpg,https://rebrickable.com/sets/30701-1/field-flowers/
30710-1,Skid-Steer Loader,2025,1,52,SETS_USED,https://cdn.rebrickable.com/media/sets/30710-1/146742.jpg,https://rebrickable.com/sets/30710-1/skid-steer-loader/
30710-1,Skid-Steer Loader,2025,1,52,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30710-1/146742.jpg,https://rebrickable.com/sets/30710-1/skid-steer-loader/
30710-1,Skid-Steer Loader,2025,1,52,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30710-1/146742.jpg,https://rebrickable.com/sets/30710-1/skid-steer-loader/
31088-1,Deep Sea Creatures,2019,672,230,SETS_USED,https://cdn.rebrickable.com/media/sets/31088-1/15354.jpg,https://rebrickable.com/sets/31088-1/deep-sea-creatures/
31113-1,Race Car Transporter,2021,672,328,SETS_USED,https://cdn.rebrickable.com/media/sets/31113-1/77642.jpg,https://rebrickable.com/sets/31113-1/race-car-transporter/
31134-1,Space Shuttle,2023,672,144,SETS_USED,https://cdn.rebrickable.com/media/sets/31134-1/131938.jpg,https://rebrickable.com/sets/31134-1/space-shuttle/
31136-1,Exotic Parrot,2023,672,253,SETS_USED,https://cdn.rebrickable.com/media/sets/31136-1/131953.jpg,https://rebrickable.com/sets/31136-1/exotic-parrot/
31140-1,Magical Unicorn,2023,672,145,SETS_SEALED,https://cdn.rebrickable.com/media/sets/31140-1/131905.jpg,https://rebrickable.com/sets/31140-1/magical-unicorn/
31140-1,Magical Unicorn,2023,672,145,SETS_SEALED,https://cdn.rebrickable.com/media/sets/31140-1/131905.jpg,https://rebrickable.com/sets/31140-1/magical-unicorn/
31145-1,Red Dragon,2024,672,149,SETS_USED,https://cdn.rebrickable.com/media/sets/31145-1/133292.jpg,https://rebrickable.com/sets/31145-1/red-dragon/
31157-1,Exotic Peacock,2024,672,355,SETS_SEALED,https://cdn.rebrickable.com/media/sets/31157-1/133399.jpg,https://rebrickable.com/sets/31157-1/exotic-peacock/
31159-1,Wild Animals: Surprising Spider,2025,672,153,SETS_USED,https://cdn.rebrickable.com/media/sets/31159-1/149705.jpg,https://rebrickable.com/sets/31159-1/wild-animals-surprising-spider/
31161-1,Medieval Dragon,2025,672,715,SETS_USED,https://cdn.rebrickable.com/media/sets/31161-1/149707.jpg,https://rebrickable.com/sets/31161-1/medieval-dragon/
31163-1,Playful Cat,2025,672,407,SETS_SEALED,https://cdn.rebrickable.com/media/sets/31163-1/149717.jpg,https://rebrickable.com/sets/31163-1/playful-cat/
31164-1,Space Robot,2025,672,281,SETS_USED,https://cdn.rebrickable.com/media/sets/31164-1/149767.jpg,https://rebrickable.com/sets/31164-1/space-robot/
31212-1,The Milky Way Galaxy,2024,709,3091,SETS_SEALED,https://cdn.rebrickable.com/media/sets/31212-1/139636.jpg,https://rebrickable.com/sets/31212-1/the-milky-way-galaxy/
40220-1,London Bus,2016,22,118,SETS_USED,https://cdn.rebrickable.com/media/sets/40220-1/13095.jpg,https://rebrickable.com/sets/40220-1/london-bus/
40277-1,Car and Petrol Pump,2018,409,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40277-1/120471.jpg,https://rebrickable.com/sets/40277-1/car-and-petrol-pump/
40290-1,60 Years of the LEGO Brick,2018,598,421,SETS_USED,https://cdn.rebrickable.com/media/sets/40290-1/11271.jpg,https://rebrickable.com/sets/40290-1/60-years-of-the-lego-brick/
40306-1,LEGOLAND Micro Castle,2018,425,220,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40306-1/5697.jpg,https://rebrickable.com/sets/40306-1/legoland-micro-castle/
40357-1,BYGGLEK,2020,301,201,SETS_USED,https://cdn.rebrickable.com/media/sets/40357-1/73621.jpg,https://rebrickable.com/sets/40357-1/bygglek/
40357-1,BYGGLEK,2020,301,201,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40357-1/73621.jpg,https://rebrickable.com/sets/40357-1/bygglek/
40460-1,Roses,2021,301,120,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40460-1/146014.jpg,https://rebrickable.com/sets/40460-1/roses/
40461-1,Tulips,2021,301,111,SETS_USED,https://cdn.rebrickable.com/media/sets/40461-1/146006.jpg,https://rebrickable.com/sets/40461-1/tulips/
40462-1,Valentine's Brown Bear,2021,232,245,SETS_USED,https://cdn.rebrickable.com/media/sets/40462-1/78551.jpg,https://rebrickable.com/sets/40462-1/valentines-brown-bear/
40463-1,Easter Bunny,2021,229,293,SETS_USED,https://cdn.rebrickable.com/media/sets/40463-1/82070.jpg,https://rebrickable.com/sets/40463-1/easter-bunny/
40468-1,Yellow Taxi,2021,22,124,SETS_USED,https://cdn.rebrickable.com/media/sets/40468-1/78562.jpg,https://rebrickable.com/sets/40468-1/yellow-taxi/
40517-1,Vespa,2022,22,118,SETS_USED,https://cdn.rebrickable.com/media/sets/40517-1/99382.jpg,https://rebrickable.com/sets/40517-1/vespa/
40524-1,Sunflowers,2022,301,191,SETS_USED,https://cdn.rebrickable.com/media/sets/40524-1/146005.jpg,https://rebrickable.com/sets/40524-1/sunflowers/
40547-1,Obi-Wan Kenobi & Darth Vader,2022,610,260,SETS_USED,https://cdn.rebrickable.com/media/sets/40547-1/103036.jpg,https://rebrickable.com/sets/40547-1/obi-wan-kenobi-darth-vader/
40564-1,Winter Elves Scene,2022,227,372,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40564-1/112406.jpg,https://rebrickable.com/sets/40564-1/winter-elves-scene/
40570-1,Halloween Cat & Mouse,2022,230,328,SETS_USED,https://cdn.rebrickable.com/media/sets/40570-1/104533.jpg,https://rebrickable.com/sets/40570-1/halloween-cat-mouse/
40574-1,Lego Brand Store,2022,301,541,SETS_USED,https://cdn.rebrickable.com/media/sets/40574-1/104405.jpg,https://rebrickable.com/sets/40574-1/lego-brand-store/
40574-1,Lego Brand Store,2022,301,541,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40574-1/104405.jpg,https://rebrickable.com/sets/40574-1/lego-brand-store/
40581-1,BIONICLE Tahu and Takua,2023,598,219,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40581-1/131753.jpg,https://rebrickable.com/sets/40581-1/bionicle-tahu-and-takua/
40585-1,World of Wonders,2023,598,382,SETS_USED,https://cdn.rebrickable.com/media/sets/40585-1/131399.jpg,https://rebrickable.com/sets/40585-1/world-of-wonders/
40585-1,World of Wonders,2023,598,382,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40585-1/131399.jpg,https://rebrickable.com/sets/40585-1/world-of-wonders/
40604-1,Christmas Decor Set,2023,227,182,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40604-1/132826.jpg,https://rebrickable.com/sets/40604-1/christmas-decor-set/
40613-1,Mini Disney Palace of Agrabah,2023,579,506,SETS_USED,https://cdn.rebrickable.com/media/sets/40613-1/127275.jpg,https://rebrickable.com/sets/40613-1/mini-disney-palace-of-agrabah/
40615-1,Tusken Raider,2023,610,152,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40615-1/131727.jpg,https://rebrickable.com/sets/40615-1/tusken-raider/
40619-1,EVE & WALL•E,2023,610,155,SETS_USED,https://cdn.rebrickable.com/media/sets/40619-1/131721.jpg,https://rebrickable.com/sets/40619-1/eve-walle/
40630-1,Frodo & Gollum,2023,610,184,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40630-1/131676.jpg,https://rebrickable.com/sets/40630-1/frodo-gollum/
40631-1,Gandalf the Grey and Balrog,2023,610,348,SETS_USED,https://cdn.rebrickable.com/media/sets/40631-1/131671.jpg,https://rebrickable.com/sets/40631-1/gandalf-the-grey-and-balrog/
40638-1,Heart Ornament,2023,232,254,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40638-1/131661.jpg,https://rebrickable.com/sets/40638-1/heart-ornament/
40639-1,Bird's Nest,2023,229,232,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40639-1/131654.jpg,https://rebrickable.com/sets/40639-1/birds-nest/
40640-1,Nutcracker,2023,227,208,SETS_USED,https://cdn.rebrickable.com/media/sets/40640-1/126052.jpg,https://rebrickable.com/sets/40640-1/nutcracker/
40641-1,Birthday Cake,2023,206,211,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40641-1/121727.jpg,https://rebrickable.com/sets/40641-1/birthday-cake/
40641-1,Birthday Cake,2023,206,211,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40641-1/121727.jpg,https://rebrickable.com/sets/40641-1/birthday-cake/
40642-1,Gingerbread Ornaments,2023,227,190,SETS_USED,https://cdn.rebrickable.com/media/sets/40642-1/131648.jpg,https://rebrickable.com/sets/40642-1/gingerbread-ornaments/
40644-1,Pinata,2023,22,206,SETS_USED,https://cdn.rebrickable.com/media/sets/40644-1/131616.jpg,https://rebrickable.com/sets/40644-1/pinata/
40644-1,Pinata,2023,22,206,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40644-1/131616.jpg,https://rebrickable.com/sets/40644-1/pinata/
40646-1,Daffodils,2023,769,216,SETS_USED,https://cdn.rebrickable.com/media/sets/40646-1/131628.jpg,https://rebrickable.com/sets/40646-1/daffodils/
40648-1,Money Tree,2023,686,336,SETS_USED,https://cdn.rebrickable.com/media/sets/40648-1/131639.jpg,https://rebrickable.com/sets/40648-1/money-tree/
40649-1,Up-Scaled LEGO Minifigure,2023,301,654,SETS_USED,https://cdn.rebrickable.com/media/sets/40649-1/121814.jpg,https://rebrickable.com/sets/40649-1/up-scaled-lego-minifigure/
40649-1,Up-Scaled LEGO Minifigure,2023,301,654,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40649-1/121814.jpg,https://rebrickable.com/sets/40649-1/up-scaled-lego-minifigure/
40650-1,Land Rover Classic Defender,2023,22,150,SETS_USED,https://cdn.rebrickable.com/media/sets/40650-1/121712.jpg,https://rebrickable.com/sets/40650-1/land-rover-classic-defender/
40669-1,Iron Man MK5 Figure,2024,610,101,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40669-1/141423.jpg,https://rebrickable.com/sets/40669-1/iron-man-mk5-figure/
40671-1,Potted Groot,2024,610,113,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40671-1/135386.jpg,https://rebrickable.com/sets/40671-1/potted-groot/
40686-1,Trade Federation Troop Carrier,2024,158,262,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40686-1/139260.jpg,https://rebrickable.com/sets/40686-1/trade-federation-troop-carrier/
40687-1,Alien Space Diner,2024,598,239,SETS_USED,https://cdn.rebrickable.com/media/sets/40687-1/140507.jpg,https://rebrickable.com/sets/40687-1/alien-space-diner/
40687-1,Alien Space Diner,2024,598,239,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40687-1/140507.jpg,https://rebrickable.com/sets/40687-1/alien-space-diner/
40688-1,Trophy,2024,598,157,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40688-1/141747.jpg,https://rebrickable.com/sets/40688-1/trophy/
40688-1,Trophy,2024,598,157,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40688-1/141747.jpg,https://rebrickable.com/sets/40688-1/trophy/
40689-1,Firework Celebrations,2024,598,184,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40689-1/141751.jpg,https://rebrickable.com/sets/40689-1/firework-celebrations/
40693-1,Fell Beast,2024,721,269,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40693-1/140961.jpg,https://rebrickable.com/sets/40693-1/fell-beast/
40696-1,Bakery,2024,598,376,SETS_USED,https://cdn.rebrickable.com/media/sets/40696-1/146679.jpg,https://rebrickable.com/sets/40696-1/bakery/
40699-1,Retro Record Player,2024,598,310,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40699-1/148129.jpg,https://rebrickable.com/sets/40699-1/retro-record-player/
40712-1,Micro Rocket Launch Pad,2024,598,325,SETS_USED,https://cdn.rebrickable.com/media/sets/40712-1/137531.jpg,https://rebrickable.com/sets/40712-1/micro-rocket-launch-pad/
40712-1,Micro Rocket Launch Pad,2024,598,325,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40712-1/137531.jpg,https://rebrickable.com/sets/40712-1/micro-rocket-launch-pad/
40715-1,Alien Pack,2024,301,181,SETS_USED,https://cdn.rebrickable.com/media/sets/40715-1/138967.jpg,https://rebrickable.com/sets/40715-1/alien-pack/
40715-1,Alien Pack,2024,301,181,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40715-1/138967.jpg,https://rebrickable.com/sets/40715-1/alien-pack/
40719-1,Traditional Chess Set,2024,301,743,SETS_USED,https://cdn.rebrickable.com/media/sets/40719-1/140340.jpg,https://rebrickable.com/sets/40719-1/traditional-chess-set/
40719-1,Traditional Chess Set,2024,301,743,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40719-1/140340.jpg,https://rebrickable.com/sets/40719-1/traditional-chess-set/
40721-1,Halloween Barn,2024,230,205,SETS_USED,https://cdn.rebrickable.com/media/sets/40721-1/143739.jpg,https://rebrickable.com/sets/40721-1/halloween-barn/
40726-1,Limited Edition Batman 85th Anniversary,2024,610,0,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40726-1/145793.jpg,https://rebrickable.com/sets/40726-1/limited-edition-batman-85th-anniversary/
40728-1,Brite Bomber,2024,610,151,SETS_USED,https://cdn.rebrickable.com/media/sets/40728-1/146239.jpg,https://rebrickable.com/sets/40728-1/brite-bomber/
40743-1,Christmas Table Decoration,2024,227,433,SETS_USED,https://cdn.rebrickable.com/media/sets/40743-1/143737.jpg,https://rebrickable.com/sets/40743-1/christmas-table-decoration/
40746-1,Santa's Delivery Truck,2024,227,224,SETS_USED,https://cdn.rebrickable.com/media/sets/40746-1/145986.jpg,https://rebrickable.com/sets/40746-1/santas-delivery-truck/
40748-1,Batman 8in1 Figure,2024,610,325,SETS_USED,https://cdn.rebrickable.com/media/sets/40748-1/142222.jpg,https://rebrickable.com/sets/40748-1/batman-8in1-figure/
40756-1,Lucky Knots,2025,686,317,SETS_SEALED,https://cdn.rebrickable.com/media/sets/40756-1/150222.jpg,https://rebrickable.com/sets/40756-1/lucky-knots/
42147-1,Dump Truck,2023,1,177,SETS_USED,https://cdn.rebrickable.com/media/sets/42147-1/131165.jpg,https://rebrickable.com/sets/42147-1/dump-truck/
42148-1,Snow Groomer,2023,1,178,SETS_SEALED,https://cdn.rebrickable.com/media/sets/42148-1/131161.jpg,https://rebrickable.com/sets/42148-1/snow-groomer/
42161-1,Lamborghini Huracán Tecnica,2023,1,806,SETS_USED,https://cdn.rebrickable.com/media/sets/42161-1/123584.jpg,https://rebrickable.com/sets/42161-1/lamborghini-huracán-tecnica/
42163-1,Heavy-Duty Bulldozer,2024,1,195,SETS_USED,https://cdn.rebrickable.com/media/sets/42163-1/133702.jpg,https://rebrickable.com/sets/42163-1/heavy-duty-bulldozer/
42163-1,Heavy-Duty Bulldozer,2024,1,195,SETS_SEALED,https://cdn.rebrickable.com/media/sets/42163-1/133702.jpg,https://rebrickable.com/sets/42163-1/heavy-duty-bulldozer/
42163-1,Heavy-Duty Bulldozer,2024,1,195,SETS_SEALED,https://cdn.rebrickable.com/media/sets/42163-1/133702.jpg,https://rebrickable.com/sets/42163-1/heavy-duty-bulldozer/
42165-1,Mercedes-AMG F1 W14 Pull-Back,2024,1,240,SETS_USED,https://cdn.rebrickable.com/media/sets/42165-1/137087.jpg,https://rebrickable.com/sets/42165-1/mercedes-amg-f1-w14-pull-back/
42178-1,Surface Space Loader,2024,1,435,SETS_USED,https://cdn.rebrickable.com/media/sets/42178-1/134849.jpg,https://rebrickable.com/sets/42178-1/surface-space-loader/
42179-1,Planet Earth and Moon in Orbit,2024,1,526,SETS_USED,https://cdn.rebrickable.com/media/sets/42179-1/134842.jpg,https://rebrickable.com/sets/42179-1/planet-earth-and-moon-in-orbit/
